<!-- This file is auto-generated. Do not edit it manually! -->

# Koobiq Icons — Full Reference

## Format

| <name>                                   | sizes: <sizes>            | tags: <tags>                                                                                                                                                                                              | react: <import>                                                                        | angular: <import>                                                                                                                              | deprecated-aliases: <old names, if renamed> |
| ---------------------------------------- | ------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------- |
| 3-columns                                | sizes: 16, 24, 32         | tags: колонки                                                                                                                                                                                             | react: import { Icon3Columns16 } from '@koobiq/react-icons'                            | angular: import { Kbq3Columns16 } from '@koobiq/angular-icons' (selector: kbq3Columns16)                                                       |
| eye-slash                                | sizes: 16, 24             | tags: hide, глаз, линия, скрыть                                                                                                                                                                           | react: import { IconEyeSlash16 } from '@koobiq/react-icons'                            | angular: import { KbqEyeSlash16 } from '@koobiq/angular-icons' (selector: kbqEyeSlash16)                                                       |
| fence                                    | sizes: 16, 24             | tags: barrier, security, барьер, безопасность, забор, ограждение                                                                                                                                          | react: import { IconFence16 } from '@koobiq/react-icons'                               | angular: import { KbqFence16 } from '@koobiq/angular-icons' (selector: kbqFence16)                                                             |
| file-archive-o                           | sizes: 16, 24             | tags: document, zip, архив, документ, файл                                                                                                                                                                | react: import { IconFileArchiveO16 } from '@koobiq/react-icons'                        | angular: import { KbqFileArchiveO16 } from '@koobiq/angular-icons' (selector: kbqFileArchiveO16)                                               |
| file-badge-arrow-left-o                  | sizes: 16, 24             | tags: arrow, back, file, left, move, previous, влево, переместить, предыдущий, стрелка, файл                                                                                                              | react: import { IconFileBadgeArrowLeftO16 } from '@koobiq/react-icons'                 | angular: import { KbqFileBadgeArrowLeftO16 } from '@koobiq/angular-icons' (selector: kbqFileBadgeArrowLeftO16)                                 |
| file-badge-arrow-right-o                 | sizes: 16, 24             | tags: arrow, file, forward, move, next, right, вперед, вправо, переместить, следующий, стрелка, файл                                                                                                      | react: import { IconFileBadgeArrowRightO16 } from '@koobiq/react-icons'                | angular: import { KbqFileBadgeArrowRightO16 } from '@koobiq/angular-icons' (selector: kbqFileBadgeArrowRightO16)                               |
| file-badge-arrow-through-line-o          | sizes: 16, 24             | tags: arrow, cross, file, line, move, whitelist, белый список, линия, переместить, скрещивание, стрелка, файл                                                                                             | react: import { IconFileBadgeArrowThroughLineO16 } from '@koobiq/react-icons'          | angular: import { KbqFileBadgeArrowThroughLineO16 } from '@koobiq/angular-icons' (selector: kbqFileBadgeArrowThroughLineO16)                   |
| file-badge-arrow-turn-right              | sizes: 16, 24             | tags: arrow, file, move, right, turn, вправо, переместить, повернуть, стрелка, файл                                                                                                                       | react: import { IconFileBadgeArrowTurnRight16 } from '@koobiq/react-icons'             | angular: import { KbqFileBadgeArrowTurnRight16 } from '@koobiq/angular-icons' (selector: kbqFileBadgeArrowTurnRight16)                         |
| file-badge-ban-o                         | sizes: 16, 24             | tags: blacklist, document, документ, заблокирован, запрет, значок, файл, черный список                                                                                                                    | react: import { IconFileBadgeBanO16 } from '@koobiq/react-icons'                       | angular: import { KbqFileBadgeBanO16 } from '@koobiq/angular-icons' (selector: kbqFileBadgeBanO16)                                             |
| file-code-o                              | sizes: 16, 24             | tags: code, document, programming, документ, код, программирование, файл                                                                                                                                  | react: import { IconFileCodeO16 } from '@koobiq/react-icons'                           | angular: import { KbqFileCodeO16 } from '@koobiq/angular-icons' (selector: kbqFileCodeO16)                                                     |
| file-cut-o                               | sizes: 16, 24             | tags: cut, document, scissors, unfinished, вырезать, документ, незакончен, ножницы, файл                                                                                                                  | react: import { IconFileCutO16 } from '@koobiq/react-icons'                            | angular: import { KbqFileCutO16 } from '@koobiq/angular-icons' (selector: kbqFileCutO16)                                                       |
| file-doc-o                               | sizes: 48                 | tags: —                                                                                                                                                                                                   | react: import { IconFileDocO48 } from '@koobiq/react-icons'                            | angular: import { KbqFileDocO48 } from '@koobiq/angular-icons' (selector: kbqFileDocO48)                                                       |
| file-exclamation-o                       | sizes: 16, 24             | tags: alert, document, error, errors, report, warning, восклицание, документ, отчет, ошибка, предупреждение                                                                                               | react: import { IconFileExclamationO16 } from '@koobiq/react-icons'                    | angular: import { KbqFileExclamationO16 } from '@koobiq/angular-icons' (selector: kbqFileExclamationO16)                                       |
| file-horizontal-o                        | sizes: 16, 24             | tags: document, landscape orientation, альбомная ориентация, горизонтальный, документ                                                                                                                     | react: import { IconFileHorizontalO16 } from '@koobiq/react-icons'                     | angular: import { KbqFileHorizontalO16 } from '@koobiq/angular-icons' (selector: kbqFileHorizontalO16)                                         |
| file-lines                               | sizes: 16, 24             | tags: event, normalized, standard, нормализовано, событие, стандарт                                                                                                                                       | react: import { IconFileLines16 } from '@koobiq/react-icons'                           | angular: import { KbqFileLines16 } from '@koobiq/angular-icons' (selector: kbqFileLines16)                                                     |
| file-lines-o                             | sizes: 32                 | tags: —                                                                                                                                                                                                   | react: import { IconFileLinesO32 } from '@koobiq/react-icons'                          | angular: import { KbqFileLinesO32 } from '@koobiq/angular-icons' (selector: kbqFileLinesO32)                                                   |
| file-lines-short                         | sizes: 16, 24             | tags: data, event, raw, событие, сырые данные                                                                                                                                                             | react: import { IconFileLinesShort16 } from '@koobiq/react-icons'                      | angular: import { KbqFileLinesShort16 } from '@koobiq/angular-icons' (selector: kbqFileLinesShort16)                                           |
| file-multiple-o                          | sizes: 16, 24             | tags: documents, empty, files, документы, несколько, пустой, файлы                                                                                                                                        | react: import { IconFileMultipleO16 } from '@koobiq/react-icons'                       | angular: import { KbqFileMultipleO16 } from '@koobiq/angular-icons' (selector: kbqFileMultipleO16)                                             |
| file-o                                   | sizes: 16, 24, 32         | tags: document, empty, orientation, portrait, документ, ориентация, портретная, пустой, файл                                                                                                              | react: import { IconFileO16 } from '@koobiq/react-icons'                               | angular: import { KbqFileO16 } from '@koobiq/angular-icons' (selector: kbqFileO16)                                                             |
| file-pdf-o                               | sizes: 48                 | tags: —                                                                                                                                                                                                   | react: import { IconFilePdfO48 } from '@koobiq/react-icons'                            | angular: import { KbqFilePdfO48 } from '@koobiq/angular-icons' (selector: kbqFilePdfO48)                                                       |
| file-plus-o                              | sizes: 16, 24             | tags: add, create, document, new, добавить, документ, новый, создать                                                                                                                                      | react: import { IconFilePlusO16 } from '@koobiq/react-icons'                           | angular: import { KbqFilePlusO16 } from '@koobiq/angular-icons' (selector: kbqFilePlusO16)                                                     |
| file-shared-o                            | sizes: 16, 24             | tags: document, share, shared, делиться, общий, поделиться, файл                                                                                                                                          | react: import { IconFileSharedO16 } from '@koobiq/react-icons'                         | angular: import { KbqFileSharedO16 } from '@koobiq/angular-icons' (selector: kbqFileSharedO16)                                                 |
| file-text-o                              | sizes: 16, 24             | tags: document, text, документ, текст, файл                                                                                                                                                               | react: import { IconFileTextO16 } from '@koobiq/react-icons'                           | angular: import { KbqFileTextO16 } from '@koobiq/angular-icons' (selector: kbqFileTextO16)                                                     |
| filter                                   | sizes: 16, 24             | tags: funnel, воронка, фильтр                                                                                                                                                                             | react: import { IconFilter16 } from '@koobiq/react-icons'                              | angular: import { KbqFilter16 } from '@koobiq/angular-icons' (selector: kbqFilter16)                                                           |
| filter-dot                               | sizes: 16, 24             | tags: active, funnel, активный, воронка, точка, фильтр                                                                                                                                                    | react: import { IconFilterDot16 } from '@koobiq/react-icons'                           | angular: import { KbqFilterDot16 } from '@koobiq/angular-icons' (selector: kbqFilterDot16)                                                     |
| fincert                                  | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconFincert16 } from '@koobiq/react-icons'                             | angular: import { KbqFincert16 } from '@koobiq/angular-icons' (selector: kbqFincert16)                                                         |
| fire-flame                               | sizes: 16, 24             | tags: burn, горение, огонь, пламя                                                                                                                                                                         | react: import { IconFireFlame16 } from '@koobiq/react-icons'                           | angular: import { KbqFireFlame16 } from '@koobiq/angular-icons' (selector: kbqFireFlame16)                                                     |
| floating-window                          | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconFloatingWindow16 } from '@koobiq/react-icons'                      | angular: import { KbqFloatingWindow16 } from '@koobiq/angular-icons' (selector: kbqFloatingWindow16)                                           |
| floppy-disk                              | sizes: 16, 24             | tags: save, дискета, сохранить                                                                                                                                                                            | react: import { IconFloppyDisk16 } from '@koobiq/react-icons'                          | angular: import { KbqFloppyDisk16 } from '@koobiq/angular-icons' (selector: kbqFloppyDisk16)                                                   |
| flowchart                                | sizes: 16, 24             | tags: diagram, graph, process, workflow, блок-схема, граф, диаграмма, процесс, рабочий процесс                                                                                                            | react: import { IconFlowchart16 } from '@koobiq/react-icons'                           | angular: import { KbqFlowchart16 } from '@koobiq/angular-icons' (selector: kbqFlowchart16)                                                     |
| flowchart-dot                            | sizes: 16, 24             | tags: diagram, graph, partial, process, workflow, блок-схема, граф, диаграмма, процесс, рабочий процесс, точка, частично                                                                                  | react: import { IconFlowchartDot16 } from '@koobiq/react-icons'                        | angular: import { KbqFlowchartDot16 } from '@koobiq/angular-icons' (selector: kbqFlowchartDot16)                                               |
| flowchart-xmark                          | sizes: 16, 24             | tags: diagram, error, graph, process, workflow, блок-схема, граф, диаграмма, крестик, ошибка, процесс, рабочий процесс                                                                                    | react: import { IconFlowchartXmark16 } from '@koobiq/react-icons'                      | angular: import { KbqFlowchartXmark16 } from '@koobiq/angular-icons' (selector: kbqFlowchartXmark16)                                           |
| folder                                   | sizes: 16, 24             | tags: closed, directory, директория, закрытая, папка                                                                                                                                                      | react: import { IconFolder16 } from '@koobiq/react-icons'                              | angular: import { KbqFolder16 } from '@koobiq/angular-icons' (selector: kbqFolder16)                                                           |
| folder-badge-arrow-right                 | sizes: 16, 24             | tags: directory, move, вправо, директория, значок, папка, переместить, стрелка                                                                                                                            | react: import { IconFolderBadgeArrowRight16 } from '@koobiq/react-icons'               | angular: import { KbqFolderBadgeArrowRight16 } from '@koobiq/angular-icons' (selector: kbqFolderBadgeArrowRight16)                             |
| folder-badge-magnifying-glass            | sizes: 16, 24             | tags: closed, find, search, закрытая, найти, папка, поиск                                                                                                                                                 | react: import { IconFolderBadgeMagnifyingGlass16 } from '@koobiq/react-icons'          | angular: import { KbqFolderBadgeMagnifyingGlass16 } from '@koobiq/angular-icons' (selector: kbqFolderBadgeMagnifyingGlass16)                   |
| folder-badge-plus                        | sizes: 16, 24             | tags: add, directory, new, директория, добавить, новый, папка                                                                                                                                             | react: import { IconFolderBadgePlus16 } from '@koobiq/react-icons'                     | angular: import { KbqFolderBadgePlus16 } from '@koobiq/angular-icons' (selector: kbqFolderBadgePlus16)                                         |
| folder-dot                               | sizes: 16, 24             | tags: closed, directory, opened, директория, закрытая, открытая, папка, точка, частично                                                                                                                   | react: import { IconFolderDot16 } from '@koobiq/react-icons'                           | angular: import { KbqFolderDot16 } from '@koobiq/angular-icons' (selector: kbqFolderDot16)                                                     |
| folder-multiple                          | sizes: 16, 24             | tags: collection, directory, folders, директория, коллекция, несколько, папки                                                                                                                             | react: import { IconFolderMultiple16 } from '@koobiq/react-icons'                      | angular: import { KbqFolderMultiple16 } from '@koobiq/angular-icons' (selector: kbqFolderMultiple16)                                           |
| folder-o                                 | sizes: 32                 | tags: —                                                                                                                                                                                                   | react: import { IconFolderO32 } from '@koobiq/react-icons'                             | angular: import { KbqFolderO32 } from '@koobiq/angular-icons' (selector: kbqFolderO32)                                                         |
| folder-open                              | sizes: 16, 24             | tags: directory, opened, директория, открытая, папка                                                                                                                                                      | react: import { IconFolderOpen16 } from '@koobiq/react-icons'                          | angular: import { KbqFolderOpen16 } from '@koobiq/angular-icons' (selector: kbqFolderOpen16)                                                   |
| folder-open-badge-magnifying-glass       | sizes: 16, 24             | tags: find, opened, search, найти, открытая, папка, поиск                                                                                                                                                 | react: import { IconFolderOpenBadgeMagnifyingGlass16 } from '@koobiq/react-icons'      | angular: import { KbqFolderOpenBadgeMagnifyingGlass16 } from '@koobiq/angular-icons' (selector: kbqFolderOpenBadgeMagnifyingGlass16)           |
| folder-open-dot                          | sizes: 16, 24             | tags: directory, opened, директория, открытая, папка, точка                                                                                                                                               | react: import { IconFolderOpenDot16 } from '@koobiq/react-icons'                       | angular: import { KbqFolderOpenDot16 } from '@koobiq/angular-icons' (selector: kbqFolderOpenDot16)                                             |
| formula                                  | sizes: 16, 24             | tags: equation, math, математика, уравнение, формула                                                                                                                                                      | react: import { IconFormula16 } from '@koobiq/react-icons'                             | angular: import { KbqFormula16 } from '@koobiq/angular-icons' (selector: kbqFormula16)                                                         |
| forward                                  | sizes: 16, 24             | tags: next, вперед, следующий, шаг                                                                                                                                                                        | react: import { IconForward16 } from '@koobiq/react-icons'                             | angular: import { KbqForward16 } from '@koobiq/angular-icons' (selector: kbqForward16)                                                         |
| forward-step                             | sizes: 16, 24             | tags: next, вперед, далее, дальше, конец, следующий                                                                                                                                                       | react: import { IconForwardStep16 } from '@koobiq/react-icons'                         | angular: import { KbqForwardStep16 } from '@koobiq/angular-icons' (selector: kbqForwardStep16)                                                 |
| gateway-envelope                         | sizes: 16, 24             | tags: mail, server, почта, сервер                                                                                                                                                                         | react: import { IconGatewayEnvelope16 } from '@koobiq/react-icons'                     | angular: import { KbqGatewayEnvelope16 } from '@koobiq/angular-icons' (selector: kbqGatewayEnvelope16)                                         |
| gear                                     | sizes: 16, 24             | tags: options, settings, настройки, опции, шестеренка, шестерня                                                                                                                                           | react: import { IconGear16 } from '@koobiq/react-icons'                                | angular: import { KbqGear16 } from '@koobiq/angular-icons' (selector: kbqGear16)                                                               |
| gear-badge-square                        | sizes: 16, 24             | tags: build, compliance, config, high, level, regulation, setup, standard, высокий, конфигурация, настройка, регулирование, сборка, соответствие, стандарт, уровень                                       | react: import { IconGearBadgeSquare16 } from '@koobiq/react-icons'                     | angular: import { KbqGearBadgeSquare16 } from '@koobiq/angular-icons' (selector: kbqGearBadgeSquare16)                                         |
| gear-badge-square-arrowtriangle-up       | sizes: 16, 24             | tags: build, compliance, config, critical, level, regulation, setup, standard, конфигурация, критический, настройка, регулирование, сборка, соответствие, стандарт, уровень                               | react: import { IconGearBadgeSquareArrowtriangleUp16 } from '@koobiq/react-icons'      | angular: import { KbqGearBadgeSquareArrowtriangleUp16 } from '@koobiq/angular-icons' (selector: kbqGearBadgeSquareArrowtriangleUp16)           |                                             | deprecated-aliases: gear-badge-arrowtriangle-up-square (renamed — do not use, replace with "gear-badge-square-arrowtriangle-up") |
| gear-badge-square-o                      | sizes: 16, 24             | tags: build, compliance, config, level, low, not defined, regulation, setup, standard, undefined, конфигурация, настройка, неопределенный, низкий, регулирование, сборка, соответствие, стандарт, уровень | react: import { IconGearBadgeSquareO16 } from '@koobiq/react-icons'                    | angular: import { KbqGearBadgeSquareO16 } from '@koobiq/angular-icons' (selector: kbqGearBadgeSquareO16)                                       |
| gear-badge-square-s                      | sizes: 16, 24             | tags: build, compliance, config, level, medium, regulation, setup, standard, конфигурация, настройка, регулирование, сборка, соответствие, средний, стандарт, уровень                                     | react: import { IconGearBadgeSquareS16 } from '@koobiq/react-icons'                    | angular: import { KbqGearBadgeSquareS16 } from '@koobiq/angular-icons' (selector: kbqGearBadgeSquareS16)                                       |
| github                                   | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconGithub16 } from '@koobiq/react-icons'                              | angular: import { KbqGithub16 } from '@koobiq/angular-icons' (selector: kbqGithub16)                                                           |
| github-alt                               | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconGithubAlt16 } from '@koobiq/react-icons'                           | angular: import { KbqGithubAlt16 } from '@koobiq/angular-icons' (selector: kbqGithubAlt16)                                                     |
| gitlab                                   | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconGitlab16 } from '@koobiq/react-icons'                              | angular: import { KbqGitlab16 } from '@koobiq/angular-icons' (selector: kbqGitlab16)                                                           |
| globe                                    | sizes: 16, 24             | tags: map, website, world, глобус, карта, мир                                                                                                                                                             | react: import { IconGlobe16 } from '@koobiq/react-icons'                               | angular: import { KbqGlobe16 } from '@koobiq/angular-icons' (selector: kbqGlobe16)                                                             |
| globe-dot                                | sizes: 16, 24             | tags: map, partial, website, world, глобус, карта, мир, частичный                                                                                                                                         | react: import { IconGlobeDot16 } from '@koobiq/react-icons'                            | angular: import { KbqGlobeDot16 } from '@koobiq/angular-icons' (selector: kbqGlobeDot16)                                                       |
| globe-multiple                           | sizes: 16, 24             | tags: map, multiple, website, world, глобус, карта, мир, несколько                                                                                                                                        | react: import { IconGlobeMultiple16 } from '@koobiq/react-icons'                       | angular: import { KbqGlobeMultiple16 } from '@koobiq/angular-icons' (selector: kbqGlobeMultiple16)                                             |
| globe-on-line                            | sizes: 16, 24             | tags: dns, network, домен, сеть                                                                                                                                                                           | react: import { IconGlobeOnLine16 } from '@koobiq/react-icons'                         | angular: import { KbqGlobeOnLine16 } from '@koobiq/angular-icons' (selector: kbqGlobeOnLine16)                                                 |
| gossopka                                 | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconGossopka16 } from '@koobiq/react-icons'                            | angular: import { KbqGossopka16 } from '@koobiq/angular-icons' (selector: kbqGossopka16)                                                       |
| grafana                                  | sizes: 16, 24             | tags: logo                                                                                                                                                                                                | react: import { IconGrafana16 } from '@koobiq/react-icons'                             | angular: import { KbqGrafana16 } from '@koobiq/angular-icons' (selector: kbqGrafana16)                                                         |
| grid-dots                                | sizes: 16, 24             | tags: markers, points, маркеры, точки                                                                                                                                                                     | react: import { IconGridDots16 } from '@koobiq/react-icons'                            | angular: import { KbqGridDots16 } from '@koobiq/angular-icons' (selector: kbqGridDots16)                                                       |
| grid-group                               | sizes: 16, 24             | tags: collection, group, группа, коллекция, сетка                                                                                                                                                         | react: import { IconGridGroup16 } from '@koobiq/react-icons'                           | angular: import { KbqGridGroup16 } from '@koobiq/angular-icons' (selector: kbqGridGroup16)                                                     |
| grid-group-dot                           | sizes: 16, 24             | tags: active, collection, dots, group, активная, группа, коллекция, сетка, точка, точки                                                                                                                   | react: import { IconGridGroupDot16 } from '@koobiq/react-icons'                        | angular: import { KbqGridGroupDot16 } from '@koobiq/angular-icons' (selector: kbqGridGroupDot16)                                               |
| grid-squares                             | sizes: 16, 24             | tags: layout, макет                                                                                                                                                                                       | react: import { IconGridSquares16 } from '@koobiq/react-icons'                         | angular: import { KbqGridSquares16 } from '@koobiq/angular-icons' (selector: kbqGridSquares16)                                                 |
| grip-vertical                            | sizes: 16, 24             | tags: draggable, handle, вертикальный, держатель, перетаскивание, ручка                                                                                                                                   | react: import { IconGripVertical16 } from '@koobiq/react-icons'                        | angular: import { KbqGripVertical16 } from '@koobiq/angular-icons' (selector: kbqGripVertical16)                                               |
| grip-vertical-s                          | sizes: 16, 24             | tags: drag, draggable, drop, handle, move, small, драг, дроп, маленький, переместить, перетаскивание, перетащить, ручка                                                                                   | react: import { IconGripVerticalS16 } from '@koobiq/react-icons'                       | angular: import { KbqGripVerticalS16 } from '@koobiq/angular-icons' (selector: kbqGripVerticalS16)                                             |
| habr                                     | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconHabr16 } from '@koobiq/react-icons'                                | angular: import { KbqHabr16 } from '@koobiq/angular-icons' (selector: kbqHabr16)                                                               |
| habr-alt                                 | sizes: 16, 24             | tags: logo, логотип                                                                                                                                                                                       | react: import { IconHabrAlt16 } from '@koobiq/react-icons'                             | angular: import { KbqHabrAlt16 } from '@koobiq/angular-icons' (selector: kbqHabrAlt16)                                                         |
| handcuffs                                | sizes: 16, 24             | tags: arrest, vulnerability, арест, наручники, уязвимость                                                                                                                                                 | react: import { IconHandcuffs16 } from '@koobiq/react-icons'                           | angular: import { KbqHandcuffs16 } from '@koobiq/angular-icons' (selector: kbqHandcuffs16)                                                     |
| hard-drive                               | sizes: 16, 24             | tags: storage, жесткий диск, хранилище                                                                                                                                                                    | react: import { IconHardDrive16 } from '@koobiq/react-icons'                           | angular: import { KbqHardDrive16 } from '@koobiq/angular-icons' (selector: kbqHardDrive16)                                                     |
| hashtag                                  | sizes: 16, 24             | tags: tag, метка, хэштег                                                                                                                                                                                  | react: import { IconHashtag16 } from '@koobiq/react-icons'                             | angular: import { KbqHashtag16 } from '@koobiq/angular-icons' (selector: kbqHashtag16)                                                         |
| highlighter                              | sizes: 16, 24             | tags: mark, marker, выделитель, выделить, маркер                                                                                                                                                          | react: import { IconHighlighter16 } from '@koobiq/react-icons'                         | angular: import { KbqHighlighter16 } from '@koobiq/angular-icons' (selector: kbqHighlighter16)                                                 |
| hourglass-end                            | sizes: 16, 24             | tags: end, time, время, конец, песочные часы                                                                                                                                                              | react: import { IconHourglassEnd16 } from '@koobiq/react-icons'                        | angular: import { KbqHourglassEnd16 } from '@koobiq/angular-icons' (selector: kbqHourglassEnd16)                                               |
| hourglass-half                           | sizes: 16, 24             | tags: middle, time, время, песочные часы, половина, середина                                                                                                                                              | react: import { IconHourglassHalf16 } from '@koobiq/react-icons'                       | angular: import { KbqHourglassHalf16 } from '@koobiq/angular-icons' (selector: kbqHourglassHalf16)                                             |
| hourglass-start                          | sizes: 16, 24             | tags: start, time, время, начало, песочные часы                                                                                                                                                           | react: import { IconHourglassStart16 } from '@koobiq/react-icons'                      | angular: import { KbqHourglassStart16 } from '@koobiq/angular-icons' (selector: kbqHourglassStart16)                                           |
| house                                    | sizes: 16, 24             | tags: home, главная, дом                                                                                                                                                                                  | react: import { IconHouse16 } from '@koobiq/react-icons'                               | angular: import { KbqHouse16 } from '@koobiq/angular-icons' (selector: kbqHouse16)                                                             |
| house-o                                  | sizes: 16, 24             | tags: home, outline, главная, дом, контур                                                                                                                                                                 | react: import { IconHouseO16 } from '@koobiq/react-icons'                              | angular: import { KbqHouseO16 } from '@koobiq/angular-icons' (selector: kbqHouseO16)                                                           |
| hpux                                     | sizes: 16, 24             | tags: hewlett-packard, hpux, os, system, ос, система                                                                                                                                                      | react: import { IconHpux16 } from '@koobiq/react-icons'                                | angular: import { KbqHpux16 } from '@koobiq/angular-icons' (selector: kbqHpux16)                                                               |
| hypervisor                               | sizes: 16, 24             | tags: virtualization, vm, виртуализация, виртуальная машина, гипервизор                                                                                                                                   | react: import { IconHypervisor16 } from '@koobiq/react-icons'                          | angular: import { KbqHypervisor16 } from '@koobiq/angular-icons' (selector: kbqHypervisor16)                                                   |
| idrac                                    | sizes: 16, 24             | tags: management, remote, server, сервер, удаленный, управление                                                                                                                                           | react: import { IconIdrac16 } from '@koobiq/react-icons'                               | angular: import { KbqIdrac16 } from '@koobiq/angular-icons' (selector: kbqIdrac16)                                                             |
| image                                    | sizes: 16, 24             | tags: picture, изображение, фотография                                                                                                                                                                    | react: import { IconImage16 } from '@koobiq/react-icons'                               | angular: import { KbqImage16 } from '@koobiq/angular-icons' (selector: kbqImage16)                                                             |
| inbox                                    | sizes: 16, 24             | tags: mail, tray, входящие, лоток, почта, сообщения                                                                                                                                                       | react: import { IconInbox16 } from '@koobiq/react-icons'                               | angular: import { KbqInbox16 } from '@koobiq/angular-icons' (selector: kbqInbox16)                                                             |
| infinity                                 | sizes: 16, 24             | tags: endless, бесконечность, бесконечный                                                                                                                                                                 | react: import { IconInfinity16 } from '@koobiq/react-icons'                            | angular: import { KbqInfinity16 } from '@koobiq/angular-icons' (selector: kbqInfinity16)                                                       |
| ip                                       | sizes: 16, 24             | tags: address, ip, network, адрес, айпи, сеть                                                                                                                                                             | react: import { IconIp16 } from '@koobiq/react-icons'                                  | angular: import { KbqIp16 } from '@koobiq/angular-icons' (selector: kbqIp16)                                                                   |
| ip-multiple                              | sizes: 16, 24             | tags: address, addresses, ip, адрес, адреса, айпи, несколько                                                                                                                                              | react: import { IconIpMultiple16 } from '@koobiq/react-icons'                          | angular: import { KbqIpMultiple16 } from '@koobiq/angular-icons' (selector: kbqIpMultiple16)                                                   |
